,표준버스정류장ID,시간합,역명,행정동
53,104000055,4543287.061018459,광진구청,구의1동
114,104000139,4099490.860804101,건대입구역사거리.건대병원,화양동
89,104000111,4021562.717467047,광진문화예술회관,자양3동
50,104000052,3663630.0366794183,광진경찰서,구의1동
7,104000007,3661800.2595105753,어린이대공원후문아차산역,능동
6,104000006,3095186.917007923,어린이대공원후문아차산역,구의2동
2,104000002,2981545.6466716137,군자교입구,군자동
3,104000003,2947707.2254381576,군자역.용마초등학교,중곡2동
100,104000125,2896831.3982462916,건대로데오거리입구,자양4동
69,104000082,2891974.182622457,광진구청,자양1동
133,104000160,2828223.8388183205,능동사거리.군자역,군자동
148,104000279,2726807.192671552,테크노마트앞.강변역,구의3동
241,104900097,2545413.777462965,강변역A,구의3동
4,104000004,2511213.7294247695,군자역.용마초등학교,능동
81,104000098,2508863.3654227383,국민은행자양지점앞,자양2동
83,104000101,2408357.3921877304,자양동잠실대교북단,자양2동
5,104000005,2398732.948383464,중곡동입구삼거리,중곡2동
1,104000001,2202108.412772073,군자교입구,중곡1동
178,104900019,2136778.499197414,구의역4번출구,자양2동
111,104000136,2044196.3086356884,건대입구역사거리.건대병원,화양동
78,104000095,2019151.3364904716,자양동잠실대교북단,자양1동
173,104900014,2016238.2007699718,구의역1번출구,구의1동
80,104000097,1994173.5026979235,자양미소약국.자양골목시장,자양2동
102,104000127,1920810.2834990446,영동대교북단,자양4동
130,104000157,1899599.313874266,광진광장,군자동
268,104900129,1888259.5322645085,강변역.테크노마트앞,구의3동
0,101000252,1840656.8033699424,신성시장앞,중곡2동
90,104000112,1787410.0724190453,건국대학교앞,자양3동
82,104000100,1736417.775715877,자양아파트앞,자양2동
76,104000092,1726605.8977676665,국민은행자양지점앞,자양1동
156,104000298,1697090.9555673886,광나루역,광장동
155,104000297,1666646.9105204295,광나루역,광장동
54,104000056,1645165.6301581552,구의역2번출구,구의1동
63,104000069,1563578.763718999,테크노마트앞.강변역,구의3동
51,104000053,1518507.256112161,광진경찰서,구의1동
115,104000141,1495031.3401568113,어린이대공원역.화양천주교회,화양동
150,104000291,1440542.405787673,동서울우편집중국앞,자양2동
151,104000293,1429001.2056757743,화양사거리,군자동
109,104000134,1426022.4646543283,어린이대공원역.화양천주교회,화양동
44,104000046,1388213.184219797,중곡동입구,중곡4동
88,104000110,1357565.244950798,뚝도변전소앞,자양3동
79,104000096,1324424.526431068,신자초등학교앞,자양2동
99,104000124,1315804.6561082762,건대입구역,자양4동
77,104000094,1238818.4621194403,자양아파트앞,자양1동
112,104000137,1235307.2310312956,건대입구역,화양동
57,104000059,1223378.6470510408,구의2동주민센터입구,구의2동
58,104000060,1219900.420496208,구의사거리,구의2동
108,104000133,1196939.5117344838,광진광장,화양동
46,104000048,1195908.643308018,능동사거리.군자역,능동
136,104000165,1174022.0779438734,어린이대공원후문,구의2동
