,유아(만0~7세),노인(만65세이상),총인구,유아비율(%),노인비율(%)
광진구,12283.0,53737.0,337416.0,3.640313440974939,15.926037887948407
중곡제1동,480.0,2619.0,15299.0,3.1374599647035755,17.118765932413883
중곡제2동,692.0,3410.0,20999.0,3.2953950188104195,16.238868517548454
중곡제3동,521.0,2937.0,15945.0,3.267481969269363,18.419567262464724
중곡제4동,882.0,5411.0,28035.0,3.146067415730337,19.300873907615482
능동,395.0,1668.0,11180.0,3.5330948121645798,14.919499105545617
구의제1동,730.0,3312.0,23387.0,3.1213922264505922,14.161713772608714
구의제2동,1104.0,4502.0,26043.0,4.239142955880658,17.286794916100295
구의제3동,1280.0,4368.0,28211.0,4.5372372478820315,15.483322108397434
광장동,1717.0,3986.0,34168.0,5.025169749473191,11.66588620931866
자양제1동,578.0,3621.0,21862.0,2.6438569206842923,16.56298600311042
자양제2동,1020.0,4196.0,23946.0,4.259584064144325,17.52275954230352
자양제3동,1577.0,4467.0,27553.0,5.72351468079701,16.21239066526331
자양제4동,509.0,3749.0,17926.0,2.8394510766484435,20.91375655472498
화양동,248.0,2332.0,23437.0,1.058155907326023,9.95007893501728
군자동,550.0,3159.0,19425.0,2.8314028314028317,16.26254826254826
